City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Airai,TL,2021-03-27 20:39:12,-8.9266,125.4092,59.5,92,100,2.53
68,Saskylakh,RU,2021-03-27 20:39:12,71.9167,114.0833,-15.54,100,100,0.47
69,Korla,CN,2021-03-27 20:39:12,41.7597,86.1469,51.31,61,13,9.08
70,Carballo,ES,2021-03-27 20:39:13,43.213,-8.691,53.6,76,0,2.01
71,Kurri Kurri,AU,2021-03-27 20:39:13,-32.8167,151.4833,63.0,89,5,3.06
72,Vieste,IT,2021-03-27 20:39:13,41.8825,16.175,51.8,82,20,3.44
73,Kavieng,PG,2021-03-27 20:39:13,-2.5744,150.7967,82.2,76,100,14.09
74,Chokurdakh,RU,2021-03-27 20:39:13,70.6333,147.9167,-2.42,88,100,5.64
75,Port Elizabeth,ZA,2021-03-27 20:38:03,-33.918,25.5701,62.6,67,20,10.36
76,Saint George,US,2021-03-27 20:35:30,37.1041,-113.5841,66.99,21,1,6.91
77,Talnakh,RU,2021-03-27 20:39:14,69.4865,88.3972,-1.37,98,72,1.52
78,Atuona,PF,2021-03-27 20:39:14,-9.8,-139.0333,80.37,80,58,20.11
79,Sinjai,ID,2021-03-27 20:39:14,-5.1241,120.253,74.73,91,100,2.98
80,Hilo,US,2021-03-27 20:39:14,19.7297,-155.09,80.6,57,90,8.05
81,Itupiranga,BR,2021-03-27 20:37:08,-5.1347,-49.3267,82.4,78,0,3.58
82,Ambikapur,IN,2021-03-27 20:39:15,23.1167,83.2,67.86,19,0,3.0
83,Ancud,CL,2021-03-27 20:39:15,-41.8697,-73.8203,66.99,59,0,5.75
84,Linxia,CN,2021-03-27 20:39:15,35.6003,103.2064,45.45,32,2,3.27
85,Katsuura,JP,2021-03-27 20:39:15,35.1333,140.3,62.01,68,100,5.99
86,Leningradskiy,RU,2021-03-27 20:39:15,69.3833,178.4167,-11.0,89,37,7.61
87,Ambatofinandrahana,MG,2021-03-27 20:39:16,-20.55,46.8,58.66,91,0,1.48
88,Egvekinot,RU,2021-03-27 20:39:16,66.3167,-179.1667,-11.04,95,61,0.31
89,Okhotsk,RU,2021-03-27 20:39:16,59.3833,143.3,1.71,94,100,4.83
90,Ribeira Grande,PT,2021-03-27 20:39:16,38.5167,-28.7,60.8,88,40,10.36
91,Yellowknife,CA,2021-03-27 20:39:17,62.456,-114.3525,21.99,63,75,11.5
92,Kodiak,US,2021-03-27 20:39:17,57.79,-152.4072,33.8,47,75,23.02
93,Udachnyy,RU,2021-03-27 20:39:17,66.4167,112.4,-11.16,100,96,3.44
94,Benjamin Hill,MX,2021-03-27 20:39:17,30.1667,-111.1,78.01,21,0,10.0
95,Palmas De Monte Alto,BR,2021-03-27 20:39:18,-14.2672,-43.1619,81.75,27,76,4.5
96,Turukhansk,RU,2021-03-27 20:39:18,65.8167,87.9833,-0.92,99,100,5.01
97,Latung,PH,2021-03-27 20:39:18,5.5,120.8833,81.77,78,100,7.49
98,Bilibino,RU,2021-03-27 20:39:18,68.0546,166.4372,-14.08,95,24,2.73
99,Los Llanos De Aridane,ES,2021-03-27 20:39:18,28.6585,-17.9182,66.2,72,40,12.91
100,Avarua,CK,2021-03-27 20:39:19,-21.2078,-159.775,84.2,74,90,21.85
101,Lincoln,US,2021-03-27 20:36:34,40.8,-96.667,55.4,50,75,18.41
102,Kaitangata,NZ,2021-03-27 20:39:19,-46.2817,169.8464,63.0,84,100,3.47
