City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Umba,RU,66.6871,34.3429,34.0,98,91,7.43,overcast clouds
80,College,US,64.8569,-147.8028,18.0,57,75,4.61,broken clouds
81,Georgetown,MY,5.4112,100.3354,80.01,94,20,1.14,few clouds
82,Usinsk,RU,65.9939,57.5281,20.84,96,99,7.47,light snow
83,Hobart,AU,-42.8794,147.3294,57.2,38,40,14.97,scattered clouds
84,Ngunguru,NZ,-35.6167,174.5,66.99,97,87,1.99,overcast clouds
85,Lompoc,US,34.6391,-120.4579,70.0,67,1,16.11,clear sky
86,Rawson,AR,-43.3002,-65.1023,60.82,80,62,13.6,broken clouds
87,Saldanha,ZA,-33.0117,17.9442,68.0,52,100,3.44,overcast clouds
88,Wairoa,NZ,-39.0333,177.3667,66.99,83,100,1.99,moderate rain
89,Balaipungut,ID,1.05,101.2833,73.4,94,40,2.17,scattered clouds
90,Port Macquarie,AU,-31.4333,152.9167,71.01,79,14,3.67,few clouds
91,Kaeo,NZ,-35.1,173.7833,66.99,97,82,1.99,light rain
92,Saint-Francois,FR,46.4154,3.9054,42.01,81,0,3.44,clear sky
93,Thompson,CA,55.7435,-97.8558,28.4,46,90,4.61,snow
94,Dubai,AE,25.2582,55.3047,75.2,73,0,5.75,clear sky
95,Phan Thiet,VN,10.9333,108.1,73.67,90,53,5.03,broken clouds
96,Hithadhoo,MV,-0.6,73.0833,78.66,87,100,33.6,moderate rain
97,Hilo,US,19.7297,-155.09,71.6,78,90,4.61,moderate rain
98,Bethel,US,41.3712,-73.414,57.0,97,100,1.01,overcast clouds
99,Ostrovnoy,RU,68.0531,39.5131,35.51,97,100,11.41,overcast clouds
100,Sale,MA,34.0389,-6.8166,62.01,82,75,14.16,broken clouds
101,Ribeira Grande,PT,38.5167,-28.7,60.8,82,40,13.8,scattered clouds
102,Carnarvon,AU,-24.8667,113.6333,71.6,94,40,5.75,scattered clouds
103,Dubasari,MD,47.2631,29.1608,41.0,81,75,18.41,broken clouds
104,Airai,TL,-8.9266,125.4092,60.82,97,100,2.93,heavy intensity rain
105,Halifax,CA,44.6453,-63.5724,35.6,93,90,13.8,overcast clouds
106,Les Cayes,HT,18.2,-73.75,79.41,67,9,8.77,clear sky
107,Mackenzie,CA,55.2999,-123.1698,33.8,55,90,11.5,light snow
108,Riviere-Au-Renard,CA,48.9957,-64.3971,26.6,74,90,13.8,overcast clouds
109,Owando,CG,-0.4819,15.8999,71.46,90,97,3.02,overcast clouds
110,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,0,6.91,clear sky
111,Port Hueneme,US,34.1478,-119.1951,78.8,52,1,13.8,clear sky
112,Rosetown,CA,51.5501,-108.0014,62.6,25,11,19.57,few clouds
113,Kysyl-Syr,RU,63.8986,122.7617,13.84,97,93,3.49,overcast clouds
114,Coquimbo,CL,-29.9533,-71.3436,60.8,72,0,9.22,clear sky
115,Adrar,MR,20.5022,-10.0711,80.51,8,82,9.37,broken clouds
116,Inuvik,CA,68.3499,-133.7218,-5.8,59,89,6.91,overcast clouds
117,San-Pedro,CI,4.7485,-6.6363,77.68,91,100,4.5,overcast clouds
118,Suntar,RU,62.1444,117.6319,7.99,97,85,3.47,overcast clouds
119,Severo-Kurilsk,RU,50.6789,156.125,29.64,70,6,7.9,clear sky
120,Jiayuguan,CN,39.8167,98.3,42.1,51,42,5.57,scattered clouds
121,Avera,US,33.194,-82.5271,64.4,85,90,6.91,overcast clouds
122,Saint George,US,37.1041,-113.5841,71.6,17,1,9.22,clear sky
123,Grand Gaube,MU,-20.0064,57.6608,77.0,81,3,3.0,clear sky
124,Gisborne,NZ,-38.6533,178.0042,66.99,83,89,1.99,overcast clouds
125,Padang,ID,-0.9492,100.3543,73.4,100,40,1.14,scattered clouds
126,Bell Ville,AR,-32.6259,-62.6887,63.0,82,16,4.92,few clouds
127,Cape Town,ZA,-33.9258,18.4232,66.99,72,0,4.61,clear sky
128,Amapa,BR,1.0,-52.0,72.18,98,100,2.35,overcast clouds
129,Coihaique,CL,-45.5752,-72.0662,60.8,67,40,3.44,scattered clouds
